tsne_x,tsne_y,id,note_str,audio_path,instrument,instrument_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,pitch,velocity,sample_rate,qualities_str
-15.056987,-10.008267,mallet_acoustic_062-055-050,mallet_acoustic_062-055-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_062-055-050.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,55,50,16000,dark|multiphonic
21.736357,17.51892,string_acoustic_056-041-025,string_acoustic_056-041-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_056-041-025.wav,436,string_acoustic_056,8,string,0,acoustic,41,25,16000,fast_decay|percussive|reverb
23.05655,32.646168,guitar_acoustic_030-102-127,guitar_acoustic_030-102-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_030-102-127.wav,642,guitar_acoustic_030,3,guitar,0,acoustic,102,127,16000,fast_decay|percussive|tempo-synced
-36.88411,44.154922,flute_acoustic_002-085-050,flute_acoustic_002-085-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_acoustic_002-085-050.wav,86,flute_acoustic_002,2,flute,0,acoustic,85,50,16000,long_release|reverb
-26.22142,44.92205,flute_acoustic_002-105-100,flute_acoustic_002-105-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_acoustic_002-105-100.wav,86,flute_acoustic_002,2,flute,0,acoustic,105,100,16000,bright|reverb
19.427057,42.32001,mallet_acoustic_056-049-050,mallet_acoustic_056-049-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_056-049-050.wav,590,mallet_acoustic_056,5,mallet,0,acoustic,49,50,16000,fast_decay|percussive
21.227427,-25.50372,flute_synthetic_000-031-025,flute_synthetic_000-031-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_synthetic_000-031-025.wav,82,flute_synthetic_000,2,flute,2,synthetic,31,25,16000,distortion
26.8298,-19.75442,flute_synthetic_000-029-127,flute_synthetic_000-029-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_synthetic_000-029-127.wav,82,flute_synthetic_000,2,flute,2,synthetic,29,127,16000,distortion
0.9387884,-22.285145,brass_acoustic_006-039-025,brass_acoustic_006-039-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-039-025.wav,43,brass_acoustic_006,1,brass,0,acoustic,39,25,16000,long_release|reverb
35.16259,-17.520643,string_acoustic_014-029-100,string_acoustic_014-029-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_014-029-100.wav,100,string_acoustic_014,8,string,0,acoustic,29,100,16000,dark|reverb
56.23104,-19.016768,organ_electronic_104-026-050,organ_electronic_104-026-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_104-026-050.wav,921,organ_electronic_104,6,organ,1,electronic,26,50,16000,
0.19378223,21.134295,mallet_acoustic_062-075-075,mallet_acoustic_062-075-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_062-075-075.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,75,75,16000,dark|fast_decay|multiphonic
-43.12818,12.355045,organ_electronic_007-080-050,organ_electronic_007-080-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_007-080-050.wav,123,organ_electronic_007,6,organ,1,electronic,80,50,16000,bright|distortion|long_release|nonlinear_env
-15.419118,-21.892403,guitar_acoustic_021-053-025,guitar_acoustic_021-053-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_021-053-025.wav,457,guitar_acoustic_021,3,guitar,0,acoustic,53,25,16000,
-46.651596,-17.82072,reed_acoustic_018-061-075,reed_acoustic_018-061-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_018-061-075.wav,183,reed_acoustic_018,7,reed,0,acoustic,61,75,16000,
32.166054,-3.2130008,organ_electronic_028-036-050,organ_electronic_028-036-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_028-036-050.wav,440,organ_electronic_028,6,organ,1,electronic,36,50,16000,dark
50.563805,-17.864504,vocal_synthetic_003-033-050,vocal_synthetic_003-033-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-033-050.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,33,50,16000,distortion|long_release|nonlinear_env
11.457915,0.5053206,bass_synthetic_009-096-127,bass_synthetic_009-096-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_synthetic_009-096-127.wav,150,bass_synthetic_009,0,bass,2,synthetic,96,127,16000,long_release
0.41300225,-60.149857,bass_electronic_018-044-075,bass_electronic_018-044-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_electronic_018-044-075.wav,759,bass_electronic_018,0,bass,1,electronic,44,75,16000,
46.590572,38.303234,reed_acoustic_023-046-075,reed_acoustic_023-046-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_023-046-075.wav,224,reed_acoustic_023,7,reed,0,acoustic,46,75,16000,bright|fast_decay|multiphonic|nonlinear_env
-10.841167,5.7936616,keyboard_electronic_002-064-025,keyboard_electronic_002-064-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_electronic_002-064-025.wav,50,keyboard_electronic_002,4,keyboard,1,electronic,64,25,16000,
-2.2117045,33.901764,mallet_acoustic_062-100-127,mallet_acoustic_062-100-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_062-100-127.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,100,127,16000,bright|multiphonic
51.809143,-14.102095,guitar_acoustic_014-045-025,guitar_acoustic_014-045-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_014-045-025.wav,263,guitar_acoustic_014,3,guitar,0,acoustic,45,25,16000,
-31.269749,-12.897392,brass_acoustic_046-057-100,brass_acoustic_046-057-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_046-057-100.wav,414,brass_acoustic_046,1,brass,0,acoustic,57,100,16000,
8.737536,-28.423204,brass_acoustic_059-041-075,brass_acoustic_059-041-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_059-041-075.wav,572,brass_acoustic_059,1,brass,0,acoustic,41,75,16000,bright|reverb
-5.907557,-34.21872,keyboard_acoustic_004-052-075,keyboard_acoustic_004-052-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_acoustic_004-052-075.wav,327,keyboard_acoustic_004,4,keyboard,0,acoustic,52,75,16000,reverb
35.755737,-7.477081,string_acoustic_071-024-075,string_acoustic_071-024-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_071-024-075.wav,609,string_acoustic_071,8,string,0,acoustic,24,75,16000,long_release|reverb
45.8806,44.456875,reed_acoustic_023-053-100,reed_acoustic_023-053-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_023-053-100.wav,224,reed_acoustic_023,7,reed,0,acoustic,53,100,16000,bright|fast_decay|multiphonic|nonlinear_env
22.843462,-22.580841,organ_electronic_028-032-075,organ_electronic_028-032-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_028-032-075.wav,440,organ_electronic_028,6,organ,1,electronic,32,75,16000,dark
-20.505274,13.770275,reed_acoustic_011-067-127,reed_acoustic_011-067-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_011-067-127.wav,104,reed_acoustic_011,7,reed,0,acoustic,67,127,16000,
43.97064,48.11792,keyboard_synthetic_000-022-075,keyboard_synthetic_000-022-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_synthetic_000-022-075.wav,577,keyboard_synthetic_000,4,keyboard,2,synthetic,22,75,16000,distortion|fast_decay|nonlinear_env
32.06781,-29.78466,keyboard_electronic_069-034-100,keyboard_electronic_069-034-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_electronic_069-034-100.wav,805,keyboard_electronic_069,4,keyboard,1,electronic,34,100,16000,distortion
