tsne_x,tsne_y,id,note_str,audio_path,instrument,instrument_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,pitch,velocity,sample_rate,qualities_str
-28.782875,-6.875245,organ_electronic_028-091-025,organ_electronic_028-091-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/organ_electronic_028-091-025.wav,440,organ_electronic_028,6,organ,1,electronic,91,25,16000,
-27.585032,4.6836777,brass_acoustic_006-043-127,brass_acoustic_006-043-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/brass_acoustic_006-043-127.wav,43,brass_acoustic_006,1,brass,0,acoustic,43,127,16000,reverb
14.963425,9.018803,bass_synthetic_068-075-050,bass_synthetic_068-075-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/bass_synthetic_068-075-050.wav,656,bass_synthetic_068,0,bass,2,synthetic,75,50,16000,
36.229527,-0.20396507,mallet_acoustic_062-061-050,mallet_acoustic_062-061-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/mallet_acoustic_062-061-050.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,61,50,16000,dark|fast_decay|multiphonic
-20.79839,26.39119,reed_acoustic_018-073-025,reed_acoustic_018-073-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/reed_acoustic_018-073-025.wav,183,reed_acoustic_018,7,reed,0,acoustic,73,25,16000,
25.835926,-4.490641,guitar_acoustic_015-073-075,guitar_acoustic_015-073-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_acoustic_015-073-075.wav,316,guitar_acoustic_015,3,guitar,0,acoustic,73,75,16000,reverb
-8.192995,3.2271323,organ_electronic_113-062-075,organ_electronic_113-062-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/organ_electronic_113-062-075.wav,958,organ_electronic_113,6,organ,1,electronic,62,75,16000,dark
38.97889,-19.96994,guitar_acoustic_014-087-025,guitar_acoustic_014-087-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_acoustic_014-087-025.wav,263,guitar_acoustic_014,3,guitar,0,acoustic,87,25,16000,fast_decay|percussive
-18.424582,7.1085396,brass_acoustic_059-033-127,brass_acoustic_059-033-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/brass_acoustic_059-033-127.wav,572,brass_acoustic_059,1,brass,0,acoustic,33,127,16000,reverb
-10.22275,-3.180222,reed_acoustic_037-074-050,reed_acoustic_037-074-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/reed_acoustic_037-074-050.wav,387,reed_acoustic_037,7,reed,0,acoustic,74,50,16000,reverb
41.32585,9.005749,string_acoustic_014-032-127,string_acoustic_014-032-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_014-032-127.wav,100,string_acoustic_014,8,string,0,acoustic,32,127,16000,dark|fast_decay|reverb
43.765396,-21.969753,string_acoustic_056-073-075,string_acoustic_056-073-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_056-073-075.wav,436,string_acoustic_056,8,string,0,acoustic,73,75,16000,fast_decay|percussive|reverb
-20.110266,46.4311,organ_electronic_113-068-025,organ_electronic_113-068-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/organ_electronic_113-068-025.wav,958,organ_electronic_113,6,organ,1,electronic,68,25,16000,
-11.875393,5.0539794,string_acoustic_012-050-127,string_acoustic_012-050-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_012-050-127.wav,97,string_acoustic_012,8,string,0,acoustic,50,127,16000,reverb
2.3003454,59.69859,string_acoustic_080-043-100,string_acoustic_080-043-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_080-043-100.wav,675,string_acoustic_080,8,string,0,acoustic,43,100,16000,long_release|reverb
-25.159893,11.964923,brass_acoustic_006-040-025,brass_acoustic_006-040-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/brass_acoustic_006-040-025.wav,43,brass_acoustic_006,1,brass,0,acoustic,40,25,16000,reverb
17.039454,3.3752227,keyboard_electronic_001-056-100,keyboard_electronic_001-056-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_electronic_001-056-100.wav,40,keyboard_electronic_001,4,keyboard,1,electronic,56,100,16000,
8.240867,37.165554,flute_synthetic_000-035-100,flute_synthetic_000-035-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/flute_synthetic_000-035-100.wav,82,flute_synthetic_000,2,flute,2,synthetic,35,100,16000,distortion
12.086793,-13.59476,keyboard_electronic_078-084-075,keyboard_electronic_078-084-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_electronic_078-084-075.wav,838,keyboard_electronic_078,4,keyboard,1,electronic,84,75,16000,bright
32.434452,-20.5198,keyboard_acoustic_004-091-050,keyboard_acoustic_004-091-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_acoustic_004-091-050.wav,327,keyboard_acoustic_004,4,keyboard,0,acoustic,91,50,16000,dark|reverb
-5.031134,-25.784918,string_acoustic_012-053-100,string_acoustic_012-053-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_012-053-100.wav,97,string_acoustic_012,8,string,0,acoustic,53,100,16000,reverb
-31.95791,-20.137136,string_acoustic_057-084-075,string_acoustic_057-084-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_057-084-075.wav,450,string_acoustic_057,8,string,0,acoustic,84,75,16000,bright|nonlinear_env|reverb
12.087583,25.662884,bass_synthetic_033-096-050,bass_synthetic_033-096-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/bass_synthetic_033-096-050.wav,417,bass_synthetic_033,0,bass,2,synthetic,96,50,16000,
23.829336,8.279209,keyboard_acoustic_004-067-050,keyboard_acoustic_004-067-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_acoustic_004-067-050.wav,327,keyboard_acoustic_004,4,keyboard,0,acoustic,67,50,16000,dark|reverb
39.511528,-41.99953,reed_acoustic_023-093-075,reed_acoustic_023-093-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/reed_acoustic_023-093-075.wav,224,reed_acoustic_023,7,reed,0,acoustic,93,75,16000,fast_decay|multiphonic|nonlinear_env
6.989216,40.256966,guitar_acoustic_021-034-025,guitar_acoustic_021-034-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_acoustic_021-034-025.wav,457,guitar_acoustic_021,3,guitar,0,acoustic,34,25,16000,
0.0002940817,-11.592163,keyboard_acoustic_004-070-127,keyboard_acoustic_004-070-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_acoustic_004-070-127.wav,327,keyboard_acoustic_004,4,keyboard,0,acoustic,70,127,16000,reverb
12.203667,9.697839,keyboard_electronic_078-063-025,keyboard_electronic_078-063-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_electronic_078-063-025.wav,838,keyboard_electronic_078,4,keyboard,1,electronic,63,25,16000,bright
31.37838,4.884224,bass_electronic_018-058-127,bass_electronic_018-058-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/bass_electronic_018-058-127.wav,759,bass_electronic_018,0,bass,1,electronic,58,127,16000,
-59.885216,8.564055,vocal_synthetic_003-031-075,vocal_synthetic_003-031-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/vocal_synthetic_003-031-075.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,31,75,16000,distortion|long_release|nonlinear_env
-42.951626,26.283878,vocal_acoustic_000-051-100,vocal_acoustic_000-051-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/vocal_acoustic_000-051-100.wav,46,vocal_acoustic_000,10,vocal,0,acoustic,51,100,16000,reverb
36.240234,-2.882784,string_acoustic_014-062-050,string_acoustic_014-062-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_014-062-050.wav,100,string_acoustic_014,8,string,0,acoustic,62,50,16000,dark|percussive|reverb
-7.6143622,5.610338,keyboard_electronic_002-050-075,keyboard_electronic_002-050-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_electronic_002-050-075.wav,50,keyboard_electronic_002,4,keyboard,1,electronic,50,75,16000,
-12.237811,24.560383,mallet_acoustic_062-061-127,mallet_acoustic_062-061-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/mallet_acoustic_062-061-127.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,61,127,16000,dark|long_release|multiphonic
-21.7976,-2.7227256,guitar_electronic_028-067-127,guitar_electronic_028-067-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_electronic_028-067-127.wav,510,guitar_electronic_028,3,guitar,1,electronic,67,127,16000,
1.4003775,36.9685,guitar_acoustic_021-046-075,guitar_acoustic_021-046-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_acoustic_021-046-075.wav,457,guitar_acoustic_021,3,guitar,0,acoustic,46,75,16000,
2.706878,5.9879603,guitar_electronic_022-083-025,guitar_electronic_022-083-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_electronic_022-083-025.wav,378,guitar_electronic_022,3,guitar,1,electronic,83,25,16000,
