tsne_x,tsne_y,id,note_str,audio_path,instrument,instrument_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,pitch,velocity,sample_rate,qualities_str
19.168802,-7.520743,mallet_acoustic_062-059-127,mallet_acoustic_062-059-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_062-059-127.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,59,127,16000,dark|long_release|multiphonic
-27.150993,16.774155,reed_acoustic_011-063-050,reed_acoustic_011-063-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_011-063-050.wav,104,reed_acoustic_011,7,reed,0,acoustic,63,50,16000,
5.0287704,-47.004124,reed_acoustic_023-095-025,reed_acoustic_023-095-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_023-095-025.wav,224,reed_acoustic_023,7,reed,0,acoustic,95,25,16000,fast_decay|multiphonic|nonlinear_env
-32.801266,-13.750401,organ_electronic_113-066-100,organ_electronic_113-066-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-066-100.wav,958,organ_electronic_113,6,organ,1,electronic,66,100,16000,
1.9189343,-46.267937,keyboard_synthetic_000-061-127,keyboard_synthetic_000-061-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_synthetic_000-061-127.wav,577,keyboard_synthetic_000,4,keyboard,2,synthetic,61,127,16000,bright|distortion|fast_decay|nonlinear_env
20.713184,12.508003,organ_electronic_057-037-075,organ_electronic_057-037-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_057-037-075.wav,701,organ_electronic_057,6,organ,1,electronic,37,75,16000,dark
-2.3064888,5.2300224,organ_electronic_113-058-100,organ_electronic_113-058-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-058-100.wav,958,organ_electronic_113,6,organ,1,electronic,58,100,16000,dark
10.505181,-32.068676,mallet_acoustic_047-100-127,mallet_acoustic_047-100-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_047-100-127.wav,488,mallet_acoustic_047,5,mallet,0,acoustic,100,127,16000,fast_decay|percussive|reverb
-22.75007,-15.842434,string_acoustic_057-092-050,string_acoustic_057-092-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_057-092-050.wav,450,string_acoustic_057,8,string,0,acoustic,92,50,16000,bright|nonlinear_env|reverb
4.9341936,28.335733,brass_acoustic_006-045-050,brass_acoustic_006-045-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-045-050.wav,43,brass_acoustic_006,1,brass,0,acoustic,45,50,16000,reverb
11.600263,29.79834,string_acoustic_012-040-127,string_acoustic_012-040-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_012-040-127.wav,97,string_acoustic_012,8,string,0,acoustic,40,127,16000,long_release|reverb
29.056967,5.8549557,bass_synthetic_134-035-025,bass_synthetic_134-035-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_synthetic_134-035-025.wav,914,bass_synthetic_134,0,bass,2,synthetic,35,25,16000,dark|reverb
-32.704987,-8.039441,organ_electronic_113-073-075,organ_electronic_113-073-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-073-075.wav,958,organ_electronic_113,6,organ,1,electronic,73,75,16000,
-45.051456,-7.9796853,vocal_synthetic_003-088-025,vocal_synthetic_003-088-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-088-025.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,88,25,16000,bright|distortion|long_release|nonlinear_env
-3.1820426,43.170853,vocal_synthetic_003-036-127,vocal_synthetic_003-036-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-036-127.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,36,127,16000,bright|distortion|long_release|nonlinear_env
19.045553,31.822367,string_acoustic_012-028-025,string_acoustic_012-028-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_012-028-025.wav,97,string_acoustic_012,8,string,0,acoustic,28,25,16000,long_release|reverb
