tsne_x,tsne_y,id,note_str,audio_path,instrument,instrument_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,pitch,velocity,sample_rate,qualities_str
-33.665527,-3.518987,mallet_acoustic_062-059-127,mallet_acoustic_062-059-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_062-059-127.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,59,127,16000,dark|long_release|multiphonic
22.626484,15.2847395,reed_acoustic_011-063-050,reed_acoustic_011-063-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_011-063-050.wav,104,reed_acoustic_011,7,reed,0,acoustic,63,50,16000,
-20.130749,-39.34248,reed_acoustic_023-095-025,reed_acoustic_023-095-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_023-095-025.wav,224,reed_acoustic_023,7,reed,0,acoustic,95,25,16000,fast_decay|multiphonic|nonlinear_env
11.739939,-4.656132,organ_electronic_113-066-100,organ_electronic_113-066-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-066-100.wav,958,organ_electronic_113,6,organ,1,electronic,66,100,16000,
-27.673828,-35.810215,keyboard_synthetic_000-061-127,keyboard_synthetic_000-061-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_synthetic_000-061-127.wav,577,keyboard_synthetic_000,4,keyboard,2,synthetic,61,127,16000,bright|distortion|fast_decay|nonlinear_env
-11.245011,24.011642,organ_electronic_057-037-075,organ_electronic_057-037-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_057-037-075.wav,701,organ_electronic_057,6,organ,1,electronic,37,75,16000,dark
4.168288,5.836752,organ_electronic_113-058-100,organ_electronic_113-058-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-058-100.wav,958,organ_electronic_113,6,organ,1,electronic,58,100,16000,dark
-11.748533,-38.86617,mallet_acoustic_047-100-127,mallet_acoustic_047-100-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_047-100-127.wav,488,mallet_acoustic_047,5,mallet,0,acoustic,100,127,16000,fast_decay|percussive|reverb
26.720976,-32.771385,string_acoustic_057-092-050,string_acoustic_057-092-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_057-092-050.wav,450,string_acoustic_057,8,string,0,acoustic,92,50,16000,bright|nonlinear_env|reverb
12.78728,27.496223,brass_acoustic_006-045-050,brass_acoustic_006-045-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-045-050.wav,43,brass_acoustic_006,1,brass,0,acoustic,45,50,16000,reverb
-3.4451382,38.991287,string_acoustic_012-040-127,string_acoustic_012-040-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_012-040-127.wav,97,string_acoustic_012,8,string,0,acoustic,40,127,16000,long_release|reverb
-28.919035,4.720326,bass_synthetic_134-035-025,bass_synthetic_134-035-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_synthetic_134-035-025.wav,914,bass_synthetic_134,0,bass,2,synthetic,35,25,16000,dark|reverb
29.891539,-11.581534,organ_electronic_113-073-075,organ_electronic_113-073-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-073-075.wav,958,organ_electronic_113,6,organ,1,electronic,73,75,16000,
42.111336,-20.98509,vocal_synthetic_003-088-025,vocal_synthetic_003-088-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-088-025.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,88,25,16000,bright|distortion|long_release|nonlinear_env
13.241679,39.616493,vocal_synthetic_003-036-127,vocal_synthetic_003-036-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-036-127.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,36,127,16000,bright|distortion|long_release|nonlinear_env
-1.3924723,36.424454,string_acoustic_012-028-025,string_acoustic_012-028-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_012-028-025.wav,97,string_acoustic_012,8,string,0,acoustic,28,25,16000,long_release|reverb
20.944304,-34.822712,flute_synthetic_000-090-075,flute_synthetic_000-090-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_synthetic_000-090-075.wav,82,flute_synthetic_000,2,flute,2,synthetic,90,75,16000,distortion
-20.114908,-16.92375,string_acoustic_056-054-050,string_acoustic_056-054-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_056-054-050.wav,436,string_acoustic_056,8,string,0,acoustic,54,50,16000,fast_decay|percussive|reverb
-20.15425,-44.400597,reed_acoustic_023-041-075,reed_acoustic_023-041-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_023-041-075.wav,224,reed_acoustic_023,7,reed,0,acoustic,41,75,16000,bright|fast_decay|multiphonic|nonlinear_env
-14.666394,-42.973362,guitar_acoustic_030-074-050,guitar_acoustic_030-074-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_030-074-050.wav,642,guitar_acoustic_030,3,guitar,0,acoustic,74,50,16000,fast_decay|percussive|tempo-synced
-17.847605,-5.3173842,mallet_acoustic_047-065-100,mallet_acoustic_047-065-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_047-065-100.wav,488,mallet_acoustic_047,5,mallet,0,acoustic,65,100,16000,reverb
10.438371,32.308132,brass_acoustic_006-036-025,brass_acoustic_006-036-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-036-025.wav,43,brass_acoustic_006,1,brass,0,acoustic,36,25,16000,long_release|reverb
-13.077766,-47.72184,guitar_acoustic_014-103-075,guitar_acoustic_014-103-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_014-103-075.wav,263,guitar_acoustic_014,3,guitar,0,acoustic,103,75,16000,fast_decay|percussive
-4.459455,-35.628372,mallet_acoustic_062-092-075,mallet_acoustic_062-092-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_062-092-075.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,92,75,16000,fast_decay|multiphonic
11.43047,-39.037544,flute_acoustic_002-102-025,flute_acoustic_002-102-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_acoustic_002-102-025.wav,86,flute_acoustic_002,2,flute,0,acoustic,102,25,16000,bright|reverb
26.975977,-32.24569,flute_acoustic_002-092-127,flute_acoustic_002-092-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_acoustic_002-092-127.wav,86,flute_acoustic_002,2,flute,0,acoustic,92,127,16000,reverb
13.442185,-0.95595855,brass_acoustic_015-068-075,brass_acoustic_015-068-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_015-068-075.wav,121,brass_acoustic_015,1,brass,0,acoustic,68,75,16000,reverb
42.064034,-20.248083,vocal_synthetic_003-087-127,vocal_synthetic_003-087-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-087-127.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,87,127,16000,bright|distortion|long_release|nonlinear_env
46.508945,-29.488152,vocal_synthetic_003-108-127,vocal_synthetic_003-108-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-108-127.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,108,127,16000,bright|distortion|long_release|nonlinear_env
11.5101185,40.53001,vocal_synthetic_003-032-127,vocal_synthetic_003-032-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-032-127.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,32,127,16000,bright|distortion|long_release|nonlinear_env
-5.43563,-10.041683,guitar_acoustic_021-069-025,guitar_acoustic_021-069-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_021-069-025.wav,457,guitar_acoustic_021,3,guitar,0,acoustic,69,25,16000,
26.640873,-10.190317,brass_acoustic_006-072-050,brass_acoustic_006-072-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-072-050.wav,43,brass_acoustic_006,1,brass,0,acoustic,72,50,16000,reverb
20.06098,-28.727816,organ_electronic_113-076-100,organ_electronic_113-076-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-076-100.wav,958,organ_electronic_113,6,organ,1,electronic,76,100,16000,
-25.963362,-36.706074,keyboard_synthetic_000-077-050,keyboard_synthetic_000-077-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_synthetic_000-077-050.wav,577,keyboard_synthetic_000,4,keyboard,2,synthetic,77,50,16000,distortion|fast_decay|nonlinear_env
-15.474878,-42.247196,guitar_acoustic_021-104-100,guitar_acoustic_021-104-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_021-104-100.wav,457,guitar_acoustic_021,3,guitar,0,acoustic,104,100,16000,fast_decay|percussive
11.694873,33.70047,brass_acoustic_006-034-100,brass_acoustic_006-034-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-034-100.wav,43,brass_acoustic_006,1,brass,0,acoustic,34,100,16000,reverb
5.7630143,-2.6132338,organ_electronic_113-051-075,organ_electronic_113-051-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-051-075.wav,958,organ_electronic_113,6,organ,1,electronic,51,75,16000,dark
-12.561697,-46.40694,mallet_acoustic_056-045-100,mallet_acoustic_056-045-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_056-045-100.wav,590,mallet_acoustic_056,5,mallet,0,acoustic,45,100,16000,bright|fast_decay|percussive
44.03314,-32.452778,vocal_synthetic_003-105-100,vocal_synthetic_003-105-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-105-100.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,105,100,16000,bright|distortion|long_release|nonlinear_env
-5.6804237,-10.509704,bass_synthetic_134-069-075,bass_synthetic_134-069-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_synthetic_134-069-075.wav,914,bass_synthetic_134,0,bass,2,synthetic,69,75,16000,dark|reverb
2.3651402,-31.430916,guitar_electronic_028-092-050,guitar_electronic_028-092-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_electronic_028-092-050.wav,510,guitar_electronic_028,3,guitar,1,electronic,92,50,16000,
-18.027681,-13.9672985,bass_electronic_018-061-075,bass_electronic_018-061-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_electronic_018-061-075.wav,759,bass_electronic_018,0,bass,1,electronic,61,75,16000,fast_decay
-25.050161,11.353878,guitar_acoustic_014-042-100,guitar_acoustic_014-042-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_014-042-100.wav,263,guitar_acoustic_014,3,guitar,0,acoustic,42,100,16000,
15.418924,41.125633,vocal_synthetic_003-048-127,vocal_synthetic_003-048-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-048-127.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,48,127,16000,bright|distortion|long_release|nonlinear_env
1.8247457,14.510508,flute_synthetic_000-058-100,flute_synthetic_000-058-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_synthetic_000-058-100.wav,82,flute_synthetic_000,2,flute,2,synthetic,58,100,16000,distortion
