id,note_str,audio_path,instrument,instrument_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,pitch,velocity,sample_rate,qualities_str
mallet_acoustic_062-059-127,mallet_acoustic_062-059-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_062-059-127.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,59,127,16000,dark|long_release|multiphonic
reed_acoustic_011-063-050,reed_acoustic_011-063-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_011-063-050.wav,104,reed_acoustic_011,7,reed,0,acoustic,63,50,16000,
reed_acoustic_023-095-025,reed_acoustic_023-095-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_023-095-025.wav,224,reed_acoustic_023,7,reed,0,acoustic,95,25,16000,fast_decay|multiphonic|nonlinear_env
organ_electronic_113-066-100,organ_electronic_113-066-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-066-100.wav,958,organ_electronic_113,6,organ,1,electronic,66,100,16000,
keyboard_synthetic_000-061-127,keyboard_synthetic_000-061-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_synthetic_000-061-127.wav,577,keyboard_synthetic_000,4,keyboard,2,synthetic,61,127,16000,bright|distortion|fast_decay|nonlinear_env
organ_electronic_057-037-075,organ_electronic_057-037-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_057-037-075.wav,701,organ_electronic_057,6,organ,1,electronic,37,75,16000,dark
organ_electronic_113-058-100,organ_electronic_113-058-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-058-100.wav,958,organ_electronic_113,6,organ,1,electronic,58,100,16000,dark
mallet_acoustic_047-100-127,mallet_acoustic_047-100-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_047-100-127.wav,488,mallet_acoustic_047,5,mallet,0,acoustic,100,127,16000,fast_decay|percussive|reverb
string_acoustic_057-092-050,string_acoustic_057-092-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_057-092-050.wav,450,string_acoustic_057,8,string,0,acoustic,92,50,16000,bright|nonlinear_env|reverb
brass_acoustic_006-045-050,brass_acoustic_006-045-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-045-050.wav,43,brass_acoustic_006,1,brass,0,acoustic,45,50,16000,reverb
string_acoustic_012-040-127,string_acoustic_012-040-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_012-040-127.wav,97,string_acoustic_012,8,string,0,acoustic,40,127,16000,long_release|reverb
bass_synthetic_134-035-025,bass_synthetic_134-035-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_synthetic_134-035-025.wav,914,bass_synthetic_134,0,bass,2,synthetic,35,25,16000,dark|reverb
organ_electronic_113-073-075,organ_electronic_113-073-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-073-075.wav,958,organ_electronic_113,6,organ,1,electronic,73,75,16000,
